Indicador,Sentido,ODS_9_Infraestrutura,ODS_11_Cidades_Sustentaveis,ODS_12_Consumo_Responsavel
N_chamados_total,minimizar,0.1,0.1,0.05
N_infra_critica,minimizar,0.3,0.1,0
Tempo_medio_resolucao_dias,minimizar,0.2,0.05,0.1
Taxa_resolucao_no_prazo,maximizar,0.2,0.1,0.1
N_criticos_alta,minimizar,0.1,0.3,0.05
N_em_espaco_coletivo,contextual,0.05,0.25,0.05
Densidade_chamados_por_1000m2,minimizar,0,0.05,0.05
Razao_preventiva_corretiva,maximizar,0.05,0.05,0.3
Valor_total_gasto_R$,minimizar,0,0,0.2
N_chamados_repetidos,minimizar,0,0,0.1
